textID,text,selected_text,sentiment
e1ed43bebe,"_2008 Well, having to revise them! Was to do some more gardening, now, I guess hoovering and some warcraft Not played in a week !","2008 Well, having to revise them! Was to do some more gardening, now, I guess hoovering and some warcraft Not played in a week",neutral
49c7c9c6e2,"Today Dan bought me Bio Dome AND the Reality Bites Soundtrack! Needless to say he gets MAYJAH points! Also, my tummy is not happy. Boo.",", my tummy is not happy. Boo.",negative
e6f5e9817d,oo noo thats not good,s not good,negative
a6c77ff610,Just watched &quot;Marley &amp; Me.&quot; Cute movie. Going to watch &quot;Twilight&quot; soon! Love it!,mp; Me,positive
436b24fc93,not sure... there are fanciful expensive ones - but some basic ones are not expensive... Try the 24hr 'M' shopping place,not sure... there are fanciful expensive ones - but some basic ones are not expensive.,neutral
4ce78f6e92,oh he is so cute... is he in uniteddogs.com? Poppy is there,cute.,positive
9dd2edd0fd,"i'm actually starting to quite like lily allen and her music, to be honest.","o quite like lily allen and her music, to be honest.",positive
daadcab8af,I'm sooo HAPPY Demi's back on twitter!,I'm sooo HAPPY De,positive
675bb05b9d,Im @ the dentist ....scary people here...,.scary,negative
dfc5afdab4,UGH... I am soooo drag assing today but on a brighter note I got my G1 update &amp; it is the biznesssss!,UGH... I am soooo drag assing today but on a brighter note I got my G1 update &amp; it is the biznesss,neutral
060d8bb5d5,"actually, I wish I was back in Tahoe. I miss it there.",I miss it there,negative
4ffb09c454,"_hall no i was gutted when he wasn't. lmao. i think i'm obsessed with him, bahaha.","hall no i was gutted when he wasn't. lmao. i think i'm obsessed with him, bahaha.",positive
6903cb08f2,Nice to see you tweeting! It's Sunday 10th May and we're celebrating Mother's Day here today. So be nice to yer Mom,e nice,positive
7a0f49dddd,Yay! You finally get to have a trip away from home again! How exciting! You 2 going to shop a bit ?,! How exciting!,positive
b57188597f,hhahaa! its well strange just woke up to an empty house ahah lolllllyyyyyyyy&lt;3 love that dog,hhahaa! its well strange just woke up to an empty house ahah lolllllyyyyyyyy&lt;3 love th,neutral
f20fecf55e,i got followed by one that says she doesn't talk to &quot;god people&quot;-i wonder if she talks to &quot;goddess people?&quot;,i got followed by one that says she doesn't talk to &quot;god people&quot;-i wonder if she talks to &quot;god,neutral
b084bce92a,"Great meeting...lunch on the patio in the sunshine...nothing more perfect busy day...time for bed, ahhhhh",Great meeting..,positive
2ef8bef8cf,&quot;We did it we did it oh yea yea yea no eating here tonite woo eating here tonight no no no eating here tonite you on a diet&quot; finding nemo,&quot;We did it we did it oh yea yea yea no eating here tonite woo eating here tonight no no no eating here tonite you on a diet&quot; findi,neutral
7c1d73feef,And U are doing Brilliantly sweetie!!! Blessings and Joy to you!!!,Blessings and Jo,positive
39b506870b,In two months i will have something of the kinf of prom and i'm really excited! and you haven't any contact to her?,d i'm really excited,positive
42f8cedeeb,Photo: novusnovendo: EYECANDY + LIVE = like a ****! only he keeps his clothes on BUT he can take them... http://tumblr.com/x2k1wga72,only he keeps his clothes on BUT he can take them.,neutral
43720cae34,physics the most boring class ever!,t boring,negative
b3aa6f64d8,lol yep tell rhonda i said happy mother's day!,d happy mother's day!,positive
ac2ec1e085,Hope you have a better weekend then..,Hope you have a better weekend then.,positive
d83fc13c67,_aguirre not going anywhere &amp; when my book finally gets hre It will be cool 2 know wht Butch looks lk..LOL It was going in mail tdy,l be,positive
6a2ed93ccf,"Having a Leatherman, is a MUST, really for anybody! You never know, when you might need one &amp; it gets the job done.",amp; it gets the job do,positive
5296a3c4b9,"uploading photos. (on: Facebook, &amp; Friendster... Myspace later.)","uploading photos. (on: Facebook, &amp; Friendster... Myspace lat",neutral
153ca0e3c3,"Thinking about Con Law, fighting a headache, &amp; Paying bills...","Thinking about Con Law, fighting a headache, &amp; Paying bills..",neutral
c84d50ca46,FINALLY DONE WITH MY PROJECT ! now its 3:12 am haha goodnights ! &lt;3,FINALLY DONE WITH MY PROJECT ! now its 3:12 am haha goodnights ! &lt,positive
830a6e2155,"I've had that before...sometimes, they turn into other things; felt is very forgiving. Remould? Cut up and re-form?",y forgiving,positive
b804b59377,that is sickening... Just shoot at will? Smh... Prayers for his family...,that is sickening.,negative
4023c3b9a4,"Hey babe, nothing much tryin to see what imma do at work today lol, look like the load isnt so bad.","y lol, look like the load isnt so bad.",positive
5eb0846f97,homework on a friday night...lame,lame,negative
1bbf83b0ce,"Good am all..: hanging out with ma dad 2day, looking for a job still..",Good am all..,positive
5d5178af59,"You can get into Canada, but I can't? WTF!!! (Seriously, I'm not allowed to cross the border!)","ly, I'm not allowed to cross the borde",negative
9ae78ce646,"ease of use, better camera, syncs w/iTunes, smaller (I looked at Storm), more eye-appealing &amp; not clunky. -just a few!","ease of use, better camera, syncs w/iTunes, smaller (I looked at Storm), more eye-appealing &amp; not clunky. -just a fe",neutral
7cf5408afa,Bro. Martin!! I need you to repent!! Pam said we were going to get to meet you last wknd...,o repent!,negative
a38bf809b0,LIKE DREW SAID &quot;GIVE TC A CHANCE&quot; WE WILL MISS THOMAS BUT HAVE TO MOVE ON. SO WATCH THIS! http://bit.ly/r6RfC,t; WE,negative
fefc0ed9f0,wow.???? ??????,wow.,neutral
3d5b85833e,"I've lost count of the number I've rung today already Were going to Wales, but I'm due in court on monday!","I've lost count of the number I've rung today already Were going to Wales, but I'm due in court on monday",neutral
9654a9b0b9,Awww You'll Be Fine...,e Fine,positive
9b0414b040,A Banana and 2 cups of Coffee...Not a so Healthy Breakfast!,Not a so Healthy,negative
9055095298,ready for the weekend and sad that I have to be at the office again tomorrow morning,sad th,negative
d81e3618bd,I know. #hhrs,I know. #h,neutral
c63410a989,NO MORE MSHS!!!!!!!! Gotta go to work...too tired,too tired,negative
4b3fd4ec22,Last day at DMA over! a million sad faces.,ion,negative
f8003ffdba,omg i didnt tweet all that much today.... *sadness*,. *sadness*,negative
c095d013ae,Soon I hope... Really need to finish the cloning project so I can get more done,hope.,positive
6819873075,**** that is awful... could not believe it at first... so sad,awful.,negative
433d0e9177,"lol. When I went to buy my new laptop in Feb., I already knew, lol, but I looked anyway and walked away sadfaced. :/",y sadfaced,negative
c47421facf,"rap battling at second sat, now at the moviesss haha &quot;i swim in a lake of ****&quot;- Matthew M. ( Ghosts of Girlfriends Past)","rap battling at second sat, now at the moviesss haha &quot;i swim in a lake of ****&quot;- Matthew M. ( Ghosts of Girlfrie",neutral
8a7f47eaeb,UP is out today!!! Why why why why does my head hurt so badly??!?!??!!? I want to see it!!!,hurt so badly??,negative
1a147f4b49,After work....Hillcats game! .25 cent hot dogs haha,s haha,negative
921d204ecd,jass warn me b4 u go to nxt war...i am there to have fun...,.i am there to have fun.,positive
849f7d5091,when I tried to go to her's I got this message &quot;That page doesn't exist! &quot;,&quot;That page doesn't exis,negative
d93bc4e903,"I definitely missed listening to The Spill Canvas, I miss seeing them live as well &quot;Now I'm in stitches ooooover you and oooover you, oh&quot;",misse,negative
a39a139223,just joined Twitter... Hiya world!,just joined Twitter... Hiya world,neutral
cfe9c7aa6c,have fun without me pasty &lt;33,have fun without me pasty &lt,positive
09337c0407,"Happy Mother's Day!!! I'm at the beach with my family. It's a warm, clear night with a beautiful full moon...",Happy Mother's Day!!,positive
d539a1fb71,&quot;leave the pieces&quot; - the wreckers... hmm,&quot;leave the pieces&quot; - the wreckers,neutral
cfc7dbb6ee,aww hope uve hada good day xxxxx,w hope uve hada good day,positive
d2ed2233e0,Too much details !!! (But glad he is better),But gl,positive
3f54e1d2cb,"...i'm sorry about you are still sick u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)",.i'm sorry,negative
0a6f559578,it was great to meet ya katie...awesome shows for sure!! Safe travels home.,.awesome,positive
